Negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Indonesia,"5,61","5,15","4,47","4,34","4,05","4,51","4,3","3,88","4,4","3,62","4,28","4,41"
China,"4,53","4,55","4,57","4,59","4,61","4,63","4,53","4,44","4,28","4,52",5,"4,82"
Japan,"5,1","4,55","4,36",4,"3,6","3,4","3,1","2,8","2,4","2,4","2,8","2,8"
Malaysia,"3,39","3,05","3,1","3,16","2,88","3,1","3,44","3,41","3,3","3,26","4,5","4,61"
"Hong Kong SAR, China","4,33","3,42","3,29","3,4","3,3","3,31","3,39","3,13","2,82","2,93","5,83","5,32"
"Egypt, Arab Rep.","8,76","11,85","12,6","13,15","13,1","13,05","12,41","11,74","9,82","7,84","9,17","9,33"
South Africa,"24,68","24,64","24,73","24,56","24,89","25,15","26,54","27,04","26,91","28,47","29,22","33,56"
Ghana,"5,38","5,6","5,91","6,2","6,52","6,81","5,53","4,22","4,28","4,32","4,65","4,7"
Tunisia,"13,05","18,33","17,63","15,93","15,06","15,16","15,56","15,33","15,46","15,13","16,59","16,82"
Morocco,"9,09","8,91","8,99","9,23","9,7","9,46","9,3","9,24","9,27","9,28","11,45","11,47"
Costa Rica,"7,17","10,14","9,78","8,77","9,06",9,"8,6","8,14","9,63","11,49","17,41","17,95"
Canada,"8,06","7,51","7,29","7,07","6,91","6,91",7,"6,34","5,83","5,66","9,46","7,51"
Mexico,"5,3","5,17","4,89","4,91","4,81","4,31","3,86","3,42","3,28","3,48","4,45","4,38"
Haiti,"15,38","14,53","14,1",14,"13,95","13,96","13,93","13,88","13,86","13,91","15,45","15,73"
Honduras,"4,12","4,47","3,75","5,65","7,08","6,15","6,73","5,53","5,65","5,7","8,37","8,51"
Ecuador,"4,09","3,46","3,23","3,08","3,48","3,62","4,6","3,84","3,53","3,81","6,11","6,43"
Brazil,"7,27","6,92","7,19","6,98","6,66","8,43","11,6","12,82","12,33","11,93","13,69","14,4"
Colombia,"10,98","10,11","9,74","9,05","8,57","8,3","8,69","8,87","9,11","9,96","15,04","14,34"
Uruguay,"7,16","6,31","6,45","6,44","6,55","7,49","7,84","7,89","8,34","8,88","10,35","10,45"
Peru,"3,58","3,48","3,24","3,57","3,21","3,27","3,74","3,69","3,49","3,38","7,18","4,83"
Australia,"5,21","5,08","5,22","5,66","6,08","6,05","5,71","5,59","5,3","5,16","6,46","5,11"
New Zealand,"6,56","6,49","6,93","5,84","5,43","5,41","5,15","4,74","4,33","4,11","4,59","4,12"
Papua New Guinea,2,"2,62","2,54","2,55","2,38","2,48","2,48","2,51","2,56","2,45","2,6","2,75"
Fiji,"4,31","4,41","4,42","4,33","4,29","4,3","4,32","4,28","4,33","4,45","4,72","5,24"
Vanuatu,"1,85","1,81","1,85","1,86","1,81","1,86","1,78","1,75","1,81","1,8","2,12","2,18"
Russian Federation,"7,37","6,54","5,44","5,46","5,16","5,57","5,56","5,21","4,85","4,5","5,59","5,01"
Poland,"9,64","9,63","10,09","10,33","8,99","7,5","6,16","4,89","3,85","3,28","3,16","3,37"
Hungary,"11,17","11,03",11,"10,18","7,73","6,81","5,11","4,16","3,71","3,42","4,25","4,12"
United Kingdom,"7,79","8,04","7,88","7,52","6,11","5,3","4,81","4,33",4,"3,74","4,47","4,53"
Switzerland,"4,8","4,4","4,48","4,75","4,83","4,8","4,92","4,8","4,71","4,39","4,82","5,32"